word_index	level	word	pinyin	part_of_speech	pinyin_numbered	pinyin_cc-cedict	traditional_cc-cedict	definition_cc-cedict
3949	6	发病	fābìng	动	fa1 bing4	fa1 bing4	發病	(of an illness) to occur/(of a person) to get sick; to fall ill/onset (of a medical condition)
3950	6	发愁	fāchóu	动	fa1 chou2	fa1 chou2	發愁	to worry/to fret/to be anxious/to become sad
3951	6	发电	fādiàn	动	fa1 dian4	fa1 dian4	發電	to generate electricity/to send a telegram
3952	6	发动	fādòng	动	fa1 dong4	fa1 dong4	發動	to start/to launch/to unleash/to mobilize/to arouse
3953	6	发放	fāfàng	动	fa1 fang4	fa1 fang4	發放	to provide/to give/to grant
3954	6	发光	fāguāng	动	fa1 guang1	fa1 guang1	發光	to emit light; to shine; to glow; to glisten; to be luminous
3955	6	发票	fāpiào	名	fa1 piao4	fa1 piao4	發票	invoice; receipt; bill/uniform invoice (abbr. for 統一發票|统一发票[tong3 yi1 fa1 piao4])
3956	6	发行	fāxíng	动	fa1 xing2	fa1 xing2	發行	to publish; to issue; to release; to distribute
3957	6	发炎	fāyán	动	fa1 yan2	fa1 yan2	發炎	to become inflamed/inflammation
3958	6	发育	fāyù	动	fa1 yu4	fa1 yu4	發育	to develop/to mature/growth/development/(sexually) mature
3959	6	法定	fǎdìng	形	fa3 ding4	fa3 ding4	法定	statutory; law-based; legal
3960	6	法官	fǎguān	名	fa3 guan1	fa3 guan1	法官	judge (in court)
3961	6	法规	fǎguī	名	fa3 gui1	fa3 gui1	法規	legislation/statute
3962	6	番	fān	量	fan1	fan1	番	(bound form) foreign (non-Chinese); barbarian/classifier for processes or actions that take time and effort/(classifier) a kind; a sort/(classifier) (used after the verb 翻[fan1] to indicate how many times a quantity doubles, as in 翻一番[fan1 yi1 fan1] "to double")
3963	6	繁忙	fánmáng	形	fan2 mang2	fan2 mang2	繁忙	busy/bustling
3964	6	凡是	fánshì	副	fan2 shi4	fan2 shi4	凡是	each and every; every; all; any
3965	6	繁殖	fánzhí	动	fan2 zhi2	fan2 zhi2	繁殖	to breed/to reproduce/to propagate
3966	6	反馈	fǎnkuì	动	fan3 kui4	fan3 kui4	反饋	to send back information/feedback
3967	6	反思	fǎnsī	动	fan3 si1	fan3 si1	反思	to think back over sth/to review/to revisit/to rethink/reflection/reassessment
3968	6	犯	fàn	动	fan4	fan4	犯	to violate/to offend/to assault/criminal/crime/to make a mistake/recurrence (of mistake or sth bad)
3969	6	方方面面	fāngfāngmiànmiàn	名	fang1 fang1 mian4 mian4	fang1 fang1 mian4 mian4	方方面面	all sides; all aspects/multifaceted
3970	6	方位	fāngwèi	名	fang1 wei4	fang1 wei4	方位	direction/points of the compass/bearing/position/azimuth
3971	6	方言	fāngyán	名	fang1 yan2	fang1 yan2	方言	the first Chinese dialect dictionary, edited by Yang Xiong 揚雄|扬雄[Yang2 Xiong2] in 1st century, containing over 9000 characters/topolect/dialect
3972	6	妨碍	fáng’ài	动	fang2 ai4	fang2 ai4	妨礙	to hinder/to obstruct
3973	6	房价	fángjià	名	fang2 jia4	fang2 jia4	房價	house price/cost of housing
3974	6	防治	fángzhì	动	fang2 zhi4	fang2 zhi4	防治	to prevent and cure/prevention and cure
3975	6	访谈	fǎngtán	动	fang3 tan2	fang3 tan2	訪談	to visit and discuss/to interview
3976	6	放大	fàngdà	动	fang4 da4	fang4 da4	放大	to enlarge/to magnify
3977	6	放飞	fàngfēi	动	fang4 fei1	fang4 fei1	放飛	to allow to fly
3978	6	飞速	fēisù	副	fei1 su4	fei1 su4	飛速	swift/rapidly
3979	6	肥	féi	形、动、名	fei2	fei2	肥	fat/fertile/loose-fitting or large/to fertilize/to become rich by illegal means/fertilizer/manure
3980	6	肥胖	féipàng	形	fei2 pang4	fei2 pang4	肥胖	fat; obese
3981	6	肥沃	féiwò	形	fei2 wo4	fei2 wo4	肥沃	fertile
3982	6	肺	fèi	名	fei4	fei4	肺	lung/CL:個|个[ge4]
3983	6	肺炎	fèiyán	名	fei4 yan2	fei4 yan2	肺炎	pneumonia/inflammation of the lungs
3984	6	分工	fēngōng	动	fen1 gong1	fen1 gong1	分工	to divide up the work/division of labor
3985	6	分级	fēnjí	动	fen1 ji2	fen1 ji2	分級	to rank/to grade/to classify/rank/grade/classification
3986	6	分期	fēnqī	动	fen1 qi1	fen1 qi1	分期	by stages/staggered/step by step/in installments
3987	6	分散	fēnsàn	形、动	fen1 san4	fen1 san4	分散	to scatter/to disperse/to distribute
3988	6	氛围	fēnwéi	名	fen1 wei2	fen1 wei2	氛圍	ambience; atmosphere
3989	6	粉	fěn	名、形	fen3	fen3	粉	powder/cosmetic face powder/food prepared from starch; noodles or pasta made from any kind of flour/to turn to powder/(dialect) to whitewash/white/pink/(suffix) fan (abbr. for 粉絲|粉丝[fen3 si1])/to be a fan of
3990	6	愤怒	fènnù	形	fen4 nu4	fen4 nu4	憤怒	angry/indignant/wrath/ire
3991	6	封闭	fēngbì	动	feng1 bi4	feng1 bi4	封閉	to close; to seal off/to close down (an illegal venue)/closed (i.e. isolated from outside input)
3992	6	风光	fēngguāng	名	feng1 guang1	feng1 guang1	風光	scene/view/sight/landscape/to be well-regarded/to be well-off/grand (dialect)/impressive (dialect)
3993	6	风力	fēnglì	名	feng1 li4	feng1 li4	風力	wind force/wind power
3994	6	丰收	fēngshōu	动	feng1 shou1	feng1 shou1	豐收	to reap a bumper harvest
3995	6	风雨	fēngyǔ	名	feng1 yu3	feng1 yu3	風雨	wind and rain/the elements/(fig.) trials and hardships
3996	6	奉献	fèngxiàn	动	feng4 xian4	feng4 xian4	奉獻	to offer respectfully/to consecrate/to dedicate/to devote
3997	6	夫人	fūrén	名	fu1 ren2	fu1 ren5	夫人	lady/madam/Mrs./CL:位[wei4]
3998	6	服	fú	动	fu2	fu2	服	clothes/dress/garment/to serve (in the military, a prison sentence etc)/to obey/to be convinced (by an argument)/to convince/to admire/to acclimatize/to take (medicine)/mourning clothes/to wear mourning clothes
3999	6	浮	fú	动	fu2	fu2	浮	to float/superficial/floating/unstable/movable/provisional/temporary/transient/impetuous/hollow/inflated/to exceed/superfluous/excessive/surplus
4000	6	服从	fúcóng	动	fu2 cong2	fu2 cong2	服從	to obey (an order)/to comply/to defer
4001	6	幅度	fúdù	名	fu2 du4	fu2 du4	幅度	width/extent/range/scope
4002	6	符号	fúhào	名	fu2 hao4	fu2 hao4	符號	symbol; mark; sign
4003	6	福利	fúlì	名、动	fu2 li4	fu2 li4	福利	material benefit/benefit in kind/(social) welfare
4004	6	服用	fúyòng	动	fu2 yong4	fu2 yong4	服用	to take (medicine)
4005	6	辅导	fǔdǎo	动	fu3 dao3	fu3 dao3	輔導	to give guidance/to mentor/to counsel/to coach/to tutor
4006	6	辅助	fǔzhù	动、形	fu3 zhu4	fu3 zhu4	輔助	to assist; to aid/supplementary; auxiliary
4007	6	副2	fù	形	fu4	fu4	副	secondary/auxiliary/deputy/assistant/vice-/abbr. for 副詞|副词 adverb/classifier for pairs, sets of things & facial expressions
4008	6	覆盖	fùgài	动	fu4 gai4	fu4 gai4	覆蓋	to cover
4009	6	附件	fùjiàn	名	fu4 jian4	fu4 jian4	附件	appendix (in a document)/enclosure (accompanying a document)/(email) attachment/accessory (for a car, computer etc)/(anatomy) adnexa
4010	6	负面	fùmiàn	形	fu4 mian4	fu4 mian4	負面	negative/the negative side
4011	6	富裕	fùyù	形、动	fu4 yu4	fu4 yu4	富裕	prosperous; well-to-do; well-off/see 富裕縣|富裕县[Fu4 yu4 Xian4]
4012	6	赋予	fùyǔ	动	fu4 yu3	fu4 yu3	賦予	to assign/to entrust (a task)/to give/to bestow
4013	6	该2	gāi	代	gai1	gai1	該	should/ought to/probably/must be/to deserve/to owe/to be sb's turn to do sth/that/the above-mentioned
4014	6	改编	gǎibiān	动	gai3 bian1	gai3 bian1	改編	to adapt/to rearrange/to revise
4015	6	改造	gǎizào	动	gai3 zao4	gai3 zao4	改造	to transform/to reform/to remodel/to remold
4016	6	概率	gàilǜ	名	gai4 lü4	gai4 lü4	概率	probability (math.)
4017	6	肝	gān	名	gan1	gan1	肝	liver (CL:葉|叶[ye4])/(slang) to put in long hours, typically late into the night, playing (a video game)/(of a video game) involving a lot of repetition in order to progress; grindy
4018	6	干脆	gāncuì	形、副	gan1 cui4	gan1 cui4	乾脆	candid/direct and to the point/simply/just/might as well
4019	6	尴尬	gāngà	形	gan1 ga4	gan1 ga4	尷尬	awkward; embarrassed
4020	6	干旱	gānhàn	形	gan1 han4	gan1 han4	乾旱	drought/arid/dry
4021	6	干扰	gānrǎo	动	gan1 rao3	gan1 rao3	干擾	to disturb/to interfere/perturbation/interference (physics)
4022	6	干燥	gānzào	形	gan1 zao4	gan1 zao4	乾燥	(of weather, climate, soil etc) dry; arid/(of skin, mouth etc) dry/(fig.) dull; dry; boring/(of timber etc) to dry out; to season; to cure
4023	6	感激	gǎnjī	动	gan3 ji1	gan3 ji1	感激	to be grateful/to appreciate/thankful
4024	6	赶忙	gǎnmáng	副	gan3 mang2	gan3 mang2	趕忙	to hurry/to hasten/to make haste
4025	6	感染	gǎnrǎn	动	gan3 ran3	gan3 ran3	感染	to infect; infection/(fig.) to influence
4026	6	感想	gǎnxiǎng	名	gan3 xiang3	gan3 xiang3	感想	impressions/reflections/thoughts/CL:通[tong4],個|个[ge4]
4027	6	钢笔	gāngbǐ	名	gang1 bi3	gang1 bi3	鋼筆	fountain pen/CL:支[zhi1]
4028	6	港口	gǎngkǒu	名	gang3 kou3	gang3 kou3	港口	port/harbor
4029	6	岗位	gǎngwèi	名	gang3 wei4	gang3 wei4	崗位	a post; a job
4030	6	高层	gāocéng	名、形	gao1 ceng2	gao1 ceng2	高層	high-rise/high level; high class
4031	6	高超	gāochāo	形	gao1 chao1	gao1 chao1	高超	excellent/superlative
4032	6	高等	gāoděng	形	gao1 deng3	gao1 deng3	高等	high-level/higher (animals, education etc)/advanced (math etc)
4033	6	高端	gāoduān	形、名	gao1 duan1	gao1 duan1	高端	high-end
4034	6	高峰	gāofēng	名	gao1 feng1	gao1 feng1	高峰	peak/summit/height
4035	6	高尚	gāoshàng	形	gao1 shang4	gao1 shang4	高尚	noble/lofty/refined/exquisite
4036	6	高手	gāoshǒu	名	gao1 shou3	gao1 shou3	高手	expert/past master/dab hand
4037	6	高新技术	gāoxīn-jìshù		gao1 xin1 ji4 shu4	gao1 xin1 ji4 shu4	高新技術	high tech/high technology
4038	6	高原	gāoyuán	名	gao1 yuan2	gao1 yuan2	高原	plateau/CL:片[pian4]
4039	6	稿件	gǎojiàn	名	gao3 jian4	gao3 jian4	稿件	piece of writing submitted for publication; manuscript; article
4040	6	稿子	gǎozi	名	gao3 zi5	gao3 zi5	稿子	draft of a document/script/manuscript/mental plan/precedent
4041	6	割	gē	动	ge1	ge1	割	to cut/to cut apart
4042	6	歌唱	gēchàng	动	ge1 chang4	ge1 chang4	歌唱	to sing
4043	6	隔壁	gébì	名	ge2 bi4	ge2 bi4	隔壁	next door/neighbor
4044	6	革命	gémìng	动、形	ge2 ming4	ge2 ming4	革命	to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning)/revolution/revolutionary/to revolt (against sb or sth)/to revolutionize (sth)/(separable verb sometimes used in the pattern 革noun的命)/CL:次[ci4]
4045	6	个体	gètǐ	名	ge4 ti3	ge4 ti3	個體	individual
4046	6	给予	jǐyǔ	动	ji3 yu3	ji3 yu3	給予	(literary) to give; to accord; to render
4047	6	跟前	gēnqián	名	gen1 qian2	gen1 qian2	跟前	the front (of)/(in) front/(in) sb's presence/just before (a date)
4048	6	跟随	gēnsuí	动	gen1 sui2	gen1 sui2	跟隨	to follow
4049	6	跟踪	gēnzōng	动	gen1 zong1	gen1 zong1	跟蹤	to follow sb's tracks/to tail/to shadow/tracking
4050	6	公	gōng	形	gong1	gong1	公	public/collectively owned/common/international (e.g. high seas, metric system, calendar)/make public/fair/just/Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/honorable (gentlemen)/father-in-law/male (animal)
4051	6	宫	gōng	名	gong1	gong1	宮	palace/temple/castration (as corporal punishment)/first note in pentatonic scale/surname Gong
4052	6	公安	gōng’ān	名	gong1 an1	gong1 an1	公安	(Ministry of) Public Security/public safety/public security/see 公安縣|公安县[Gong1 an1 Xian4]
4053	6	工地	gōngdì	名	gong1 di4	gong1 di4	工地	construction site
4054	6	工夫	gōngfu	名	gong1 fu5	gong1 fu5	工夫	period of time (may be months, or mere seconds)/spare time/skill/labor/effort
4055	6	公告	gōnggào	动、名	gong1 gao4	gong1 gao4	公告	post/announcement
4056	6	供给	gōngjǐ	动	gong1 ji3	gong1 ji3	供給	to furnish/to provide/supply (as in supply and demand)
4057	6	攻击	gōngjī	动	gong1 ji1	gong1 ji1	攻擊	to attack/to accuse/to charge/an attack (terrorist or military)
4058	6	公开	gōngkāi	形、动	gong1 kai1	gong1 kai1	公開	open; overt; public/to make public; to release
4059	6	公民	gōngmín	名	gong1 min2	gong1 min2	公民	citizen
4060	6	公认	gōngrèn	动	gong1 ren4	gong1 ren4	公認	publicly known (to be)/accepted (as)
4061	6	功效	gōngxiào	名	gong1 xiao4	gong1 xiao4	功效	efficacy
4062	6	工序	gōngxù	名	gong1 xu4	gong1 xu4	工序	working procedure/process
4063	6	公益	gōngyì	名	gong1 yi4	gong1 yi4	公益	public good; public welfare; public interest
4064	6	供应	gōngyìng	动	gong1 ying4	gong1 ying4	供應	to supply; to provide (goods, services etc)
4065	6	公元	gōngyuán	名	gong1 yuan2	gong1 yuan2	公元	CE (Common Era)/Christian Era/AD (Anno Domini)
4066	6	公正	gōngzhèng	形	gong1 zheng4	gong1 zheng4	公正	just; fair; equitable
4067	6	公众	gōngzhòng	名	gong1 zhong4	gong1 zhong4	公眾	public
4068	6	公主	gōngzhǔ	名	gong1 zhu3	gong1 zhu3	公主	princess
4069	6	巩固	gǒnggù	形、动	gong3 gu4	gong3 gu4	鞏固	to consolidate; to strengthen/firm; solid; stable
4070	6	共计	gòngjì	动	gong4 ji4	gong4 ji4	共計	to sum up to/to total
4071	6	沟	gōu	名	gou1	gou1	溝	ditch/gutter/groove/gully/ravine/CL:道[dao4]
4072	6	构造	gòuzào	动	gou4 zao4	gou4 zao4	構造	structure/composition/tectonic (geology)/CL:個|个[ge4]
4073	6	孤独	gūdú	形	gu1 du2	gu1 du2	孤獨	lonely/solitary
4074	6	姑姑	gūgu	名	gu1 gu5	gu1 gu5	姑姑	paternal aunt/CL:個|个[ge4]
4075	6	古典	gǔdiǎn	形	gu3 dian3	gu3 dian3	古典	classical
4076	6	古迹	gǔjì	名	gu3 ji4	gu3 ji4	古蹟	places of historic interest/historical sites/CL:個|个[ge4]
4077	6	股票	gǔpiào	名	gu3 piao4	gu3 piao4	股票	share certificate/stock (finance)
4078	6	古人	gǔrén	名	gu3 ren2	gu3 ren2	古人	people of ancient times/the ancients/extinct human species such as Homo erectus or Homo neanderthalensis/(literary) deceased person
4079	6	股市	gǔshì	名	gu3 shi4	gu3 shi4	股市	stock market
4080	6	骨头	gǔtou	名	gu3 tou5	gu3 tou5	骨頭	bone/CL:根[gen1],塊|块[kuai4]/moral character/bitterness/Taiwan pr. [gu2 tou5]
4081	6	鼓舞	gǔwǔ	动、形	gu3 wu3	gu3 wu3	鼓舞	to inspire; to encourage; to hearten; to boost (morale)
4082	6	顾	gù	动	gu4	gu4	顧	surname Gu/to look after; to take into consideration; to attend to
4083	6	固体	gùtǐ	名	gu4 ti3	gu4 ti3	固體	solid
4084	6	顾问	gùwèn	名	gu4 wen4	gu4 wen4	顧問	adviser/consultant
4085	6	故障	gùzhàng	名	gu4 zhang4	gu4 zhang4	故障	malfunction/breakdown/defect/shortcoming/fault/failure/impediment/error/bug (in software)
4086	6	拐	guǎi	动	guai3	guai3	拐/枴/柺	cane/walking stick/crutch/old man's staff/to turn (a corner etc)/to kidnap/to swindle/to misappropriate/seven (used as a substitute for 七[qi1])/variant of 枴|拐[guai3]/variant of 枴|拐[guai3]
4087	6	拐弯	guǎiwān	动	guai3 wan1	guai3 wan1	拐彎	to go round a curve/to turn a corner/fig. a new direction
4088	6	官	guān	名	guan1	guan1	官	government official/governmental/official/public/organ of the body/CL:個|个[ge4]/surname Guan
4089	6	关爱	guān’ài	动	guan1 ai4	guan1 ai4	關愛	to show concern and care for
4090	6	官方	guānfāng	名	guan1 fang1	guan1 fang1	官方	government/official (approved or issued by an authority)
4091	6	观光	guānguāng	动	guan1 guang1	guan1 guang1	觀光	to tour/sightseeing/tourism
4092	6	关怀	guānhuái	动	guan1 huai2	guan1 huai2	關懷	care/solicitude/to show care for/concerned about/attentive to
4093	6	关联	guānlián	动	guan1 lian2	guan1 lian2	關聯	to be related; to be connected/relationship; connection
4094	6	观赏	guānshǎng	动	guan1 shang3	guan1 shang3	觀賞	to look at sth with pleasure; to watch (sth marvelous)/ornamental
4095	6	官员	guānyuán	名	guan1 yuan2	guan1 yuan2	官員	official (in an organization or government)/administrator
4096	6	管道	guǎndào	名	guan3 dao4	guan3 dao4	管道	tubing/pipeline/(fig.) channel/means
4097	6	罐	guàn	名	guan4	guan4	罐/鑵	can/jar/pot/variant of 罐[guan4]
4098	6	广阔	guǎngkuò	形	guang3 kuo4	guang3 kuo4	廣闊	wide/vast
4099	6	归	guī	动、介	gui1	gui1	歸	surname Gui/to return/to go back to/to give back to/(of a responsibility) to be taken care of by/to belong to/to gather together/(used between two identical verbs) despite/to marry (of a woman) (old)/division on the abacus with a one-digit divisor
4100	6	规范	guīfàn	名、形、动	gui1 fan4	gui1 fan4	規範	norm/standard/specification/regulation/rule/within the rules/to fix rules/to regulate/to specify
4101	6	规划	guīhuà	名、动	gui1 hua4	gui1 hua4	規劃	to draw up a plan; to map out a program/a plan; a program
4102	6	归还	guīhuán	动	gui1 huan2	gui1 huan2	歸還	to return sth/to revert
4103	6	规矩	guīju	名、形	gui1 ju5	gui1 ju5	規矩	lit. compass and set square/fig. established standard/rule/customs/practices/fig. upright and honest/well-behaved
4104	6	轨道	guǐdào	名	gui3 dao4	gui3 dao4	軌道	track (for trains etc)/orbit (of a satellite)/(fig.) a person's established path in life/desired trajectory (of a business or other endeavor)/(audio engineering) track/(quantum mechanics) orbital
4105	6	跪	guì	动	gui4	gui4	跪	to kneel
4106	6	贵重	guìzhòng	形	gui4 zhong4	gui4 zhong4	貴重	precious
4107	6	棍	gùn	名	gun4	gun4	棍	stick; rod; truncheon/scoundrel; villain
4108	6	国宝	guóbǎo	名	guo2 bao3	guo2 bao3	國寶	national treasure
4109	6	国产	guóchǎn	形	guo2 chan3	guo2 chan3	國產	domestically produced
4110	6	国歌	guógē	名	guo2 ge1	guo2 ge1	國歌	national anthem
4111	6	国旗	guóqí	名	guo2 qi2	guo2 qi2	國旗	flag (of a country)/CL:面[mian4]
4112	6	国情	guóqíng	名	guo2 qing2	guo2 qing2	國情	the characteristics and circumstances particular to a country/current state of a country
4113	6	国王	guówáng	名	guo2 wang2	guo2 wang2	國王	king
4114	6	过渡	guòdù	动	guo4 du4	guo4 du4	過渡	to cross over (by ferry)/transition/interim/caretaker (administration)
4115	6	过后	guòhòu	名	guo4 hou4	guo4 hou4	過後	after the event
4116	6	过时	guòshí	动、形	guo4 shi2	guo4 shi2	過時	old-fashioned/out of date/to be later than the time stipulated or agreed upon
4117	6	海内外	hǎinèiwài		hai3 nei4 wai4	hai3 nei4 wai4	海內外	domestic and international; at home and abroad
4118	6	海岸	hǎi’àn	名	hai3 an4	hai3 an4	海岸	coastal/seacoast
4119	6	海拔	hǎibá	名	hai3 ba2	hai3 ba2	海拔	height above sea level/elevation
4120	6	海面	hǎimiàn	名	hai3 mian4	hai3 mian4	海面	the surface of the sea; ocean surface
4121	6	海域	hǎiyù	名	hai3 yu4	hai3 yu4	海域	sea area/territorial waters/maritime space
4122	6	害	hài	名、动	hai4	hai4	害	to do harm to/to cause trouble to/harm/evil/calamity
4123	6	寒冬	hándōng	名	han2 dong1	han2 dong1	寒冬	cold winter
4124	6	含义	hányì	名	han2 yi4	han2 yi4	含義	meaning (implicit in a phrase)/implied meaning/hidden meaning/hint/connotation
4125	6	罕见	hǎnjiàn	形	han3 jian4	han3 jian4	罕見	rare/rarely seen
4126	6	旱灾	hànzāi	名	han4 zai1	han4 zai1	旱災	drought
4127	6	航空	hángkōng	动	hang2 kong1	hang2 kong1	航空	aviation
4128	6	毫不	háobù		hao2 bu4	hao2 bu4	毫不	hardly/not in the least/not at all
4129	6	毫无	háowú		hao2 wu2	hao2 wu2	毫無	not in the least/to completely lack
4130	6	毫米	háomǐ	量	hao2 mi3	hao2 mi3	毫米	millimeter
4131	6	毫升	háoshēng	量	hao2 sheng1	hao2 sheng1	毫升	milliliter
4132	6	好不	hǎobù	副	hao3 bu4	hao3 bu4	好不	not at all .../how very ...
4133	6	好感	hǎogǎn	名	hao3 gan3	hao3 gan3	好感	good opinion/favorable impression
4134	6	好容易	hǎoróngyì	形	hao3 rong2 yi4	hao3 rong2 yi4	好容易	(idiomatic usage) with great difficulty/to have a hard time (convincing sb, relinquishing sth etc)/(literal usage) so easy
4135	6	好客	hàokè	形	hao4 ke4	hao4 ke4	好客	hospitality/to treat guests well/to enjoy having guests/hospitable/friendly
4136	6	好学	hàoxué	动	hao4 xue2	hao4 xue2	好學	eager to study/studious/erudite
4137	6	号召	hàozhào	动	hao4 zhao4	hao4 zhao4	號召	to call/to appeal
4138	6	合并	hébìng	动	he2 bing4	he2 bing4	合並/合併	to merge/to annex/variant of 合併|合并[he2 bing4]
4139	6	合成	héchéng	动	he2 cheng2	he2 cheng2	合成	to compose/to constitute/compound/synthesis/mixture/synthetic
4140	6	和平	hépíng	名	he2 ping2	he2 ping2	和平	peace/peaceful
4141	6	和谐	héxié	形	he2 xie2	he2 xie2	和諧	harmonious/harmony/(euphemism) to censor
4142	6	核心	héxīn	名	he2 xin1	he2 xin1	核心	core; nucleus
4143	6	嘿	hēi	叹	hei1	hei1	嘿	hey
4144	6	黑暗	hēi’àn	形	hei1 an4	hei1 an4	黑暗	dark/darkly/darkness
4145	6	痕迹	hénjì	名	hen2 ji4	hen2 ji4	痕跡	vestige/mark/trace
4146	6	狠	hěn	形、动、副	hen3	hen3	狠	ruthless; fierce; ferocious/determined; resolute/to harden (one's heart)/old variant of 很[hen3]
4147	6	恨	hèn	动	hen4	hen4	恨	to hate/to regret
4148	6	横	héng	形、动、名	heng2	heng2	橫	horizontal/across/crosswise/horizontal stroke (in Chinese characters)/to place (sth) flat (on a surface)/to cross (a river, etc)/in a jumble/chaotic/(in fixed expressions) harsh and unreasonable/violent
4149	6	衡量	héngliáng	动	heng2 liang2	heng2 liang2	衡量	to weigh/to examine/to consider
4150	6	宏大	hóngdà	形	hong2 da4	hong2 da4	宏大	great; grand
4151	6	洪水	hóngshuǐ	名	hong2 shui3	hong2 shui3	洪水	deluge; flood
4152	6	后代	hòudài	名	hou4 dai4	hou4 dai4	後代	descendant; progeny/posterity; later ages; later generations
4153	6	后期	hòuqī	名	hou4 qi1	hou4 qi1	後期	late stage/later period
4154	6	后人	hòurén	名	hou4 ren2	hou4 ren2	後人	later generation
4155	6	后退	hòutuì	动	hou4 tui4	hou4 tui4	後退	to recoil; to draw back; to fall back; to retreat
4156	6	后者	hòuzhě	名	hou4 zhe3	hou4 zhe3	後者	the latter
4157	6	忽略	hūlüè	动	hu1 lüe4	hu1 lüe4	忽略	to neglect; to overlook; to ignore
4158	6	壶	hú	名	hu2	hu2	壺	pot/classifier for bottled liquid
4159	6	胡子	húzi	名	hu2 zi5	hu2 zi5	鬍子	beard/mustache or whiskers/facial hair/CL:撮[zuo3],根[gen1]/(coll.) bandit
4160	6	户	hù	量	hu4	hu4	戶	a household/door/family
4161	6	互助	hùzhù	动	hu4 zhu4	hu4 zhu4	互助	to help each other
4162	6	花朵	huāduǒ	名	hua1 duo3	hua1 duo3	花朵	flower
4163	6	花生	huāshēng	名	hua1 sheng1	hua1 sheng1	花生	peanut/CL:粒[li4]
4164	6	滑冰	huábīng	动	hua2 bing1	hua2 bing1	滑冰	to skate/skating
4165	6	滑行	huáxíng	动	hua2 xing2	hua2 xing2	滑行	to slide/to coast/to glide/(of an aircraft) to taxi
4166	6	滑雪	huáxuě	动	hua2 xue3	hua2 xue3	滑雪	to ski/skiing
4167	6	划	huà	动	hua4	hua4	劃	to delimit/to transfer/to assign/to plan/to draw (a line)/stroke of a Chinese character
4168	6	划分	huàfēn	动	hua4 fen1	hua4 fen1	劃分	to divide up/to partition/to differentiate
4169	6	化石	huàshí	名	hua4 shi2	hua4 shi2	化石	fossil
4170	6	话筒	huàtǒng	名	hua4 tong3	hua4 tong3	話筒	microphone/(telephone) receiver; handset/megaphone/(fig.) mouthpiece; spokesperson
4171	6	化妆	huàzhuāng	动	hua4 zhuang1	hua4 zhuang1	化妝	to put on makeup
4172	6	怀	huái	名、动	huai2	huai2	懷	bosom/heart/mind/to think of/to harbor in one's mind/to conceive (a child)/surname Huai
4173	6	怀念	huáiniàn	动	huai2 nian4	huai2 nian4	懷念	to cherish the memory of/to think of/to reminisce
4174	6	怀孕	huáiyùn	动	huai2 yun4	huai2 yun4	懷孕	pregnant/to have conceived/gestation/pregnancy
4175	6	欢乐	huānlè	形	huan1 le4	huan1 le4	歡樂	gaiety/gladness/glee/merriment/pleasure/happy/joyous/gay
4176	6	环	huán	名、量、动	huan2	huan2	環	ring/hoop/loop/(chain) link/classifier for scores in archery etc/to surround/to encircle/to hem in/surname Huan
4177	6	还原	huányuán	动	huan2 yuan2	huan2 yuan2	還原	to restore to the original state/to reconstruct (an event)/reduction (chemistry)
4178	6	患	huàn	动	huan4	huan4	患	to suffer (from illness)/to contract (a disease)/misfortune/trouble/danger/worry
4179	6	幻想	huànxiǎng	动、名	huan4 xiang3	huan4 xiang3	幻想	to fantasize; to imagine/an illusion; a fantasy
4180	6	患者	huànzhě	名	huan4 zhe3	huan4 zhe3	患者	patient; sufferer
4181	6	黄	huáng	名	huang2	huang2	黃	surname Huang or Hwang/yellow/pornographic/to fall through
4182	6	皇帝	huángdì	名	huang2 di4	huang2 di4	皇帝	emperor/CL:個|个[ge4]
4183	6	灰尘	huīchén	名	hui1 chen2	hui1 chen2	灰塵	dust
4184	6	灰心	huīxīn	形	hui1 xin1	hui1 xin1	灰心	to lose heart/to be discouraged
4185	6	回报	huíbào	动	hui2 bao4	hui2 bao4	回報	(in) return/reciprocation/payback/retaliation/to report back/to reciprocate
4186	6	回顾	huígù	动	hui2 gu4	hui2 gu4	回顧	to look back/to review
4187	6	回头	huítóu	动、副、连	hui2 tou2	hui2 tou2	回頭	to turn round; to turn one's head/later; by and by
4188	6	汇	huì	动	hui4	hui4	匯/彙/滙	class/collection/to remit/to converge (of rivers)/to exchange/variant of 匯|汇[hui4]
4189	6	汇报	huìbào	动	hui4 bao4	hui4 bao4	匯報/彙報	to report/to give an account of/report/to report/to give an account of/to collect information and report back
4190	6	绘画	huìhuà	动	hui4 hua4	hui4 hua4	繪畫	to draw; to paint
4191	6	会见	huìjiàn	动	hui4 jian4	hui4 jian4	會見	to meet with (sb who is paying a visit)/CL:次[ci4]
4192	6	汇款	huìkuǎn	动、名	hui4 kuan3	hui4 kuan3	匯款	to remit money/remittance
4193	6	婚姻	hūnyīn	名	hun1 yin1	hun1 yin1	婚姻	marriage; matrimony/CL:樁|桩[zhuang1],次[ci4]
4194	6	混	hùn	动、副	hun4	hun4	混	to mix/to mingle/muddled/to drift along/to muddle along/to pass for/to get along with sb/thoughtless/reckless
4195	6	混合	hùnhé	动	hun4 he2	hun4 he2	混合	to mix; to blend/hybrid; composite
4196	6	混乱	hùnluàn	形	hun4 luan4	hun4 luan4	混亂	confused; chaotic; disorderly
